amt_price,heatedarea,hometype,fullbaths,halfbaths,District
420000,2352,Attached single-family,2,1,3
430000,2332,Attached single-family,2,1,3
409000,1936,Attached single-family,2,1,3
415000,2352,Attached single-family,2,1,3
420000,2332,Attached single-family,2,1,3
425000,1952,Attached single-family,3,1,3
405000,1796,Detached single-family,2,1,3
441000,1816,Detached single-family,2,1,3
430000,2344,Attached single-family,3,1,3
420000,2332,Attached single-family,2,1,3
455000,1952,Attached single-family,2,1,3
440000,1936,Attached single-family,2,1,3
332000,1428,Attached single-family,2,1,3
382500,1852,Attached single-family,2,1,3
366500,1567,Attached single-family,2,1,3
364000,1555,Attached single-family,2,1,3
361500,1567,Attached single-family,2,1,3
379500,1861,Attached single-family,2,1,3
381000,1852,Attached single-family,2,1,3
361000,1631,Attached single-family,2,1,3
360000,1631,Attached single-family,2,1,3
382000,1861,Attached single-family,2,1,3
355500,1825,Attached single-family,2,1,3
343500,1631,Attached single-family,2,1,3
331000,1595,Attached single-family,2,1,3
346000,1631,Attached single-family,2,1,3
384500,1861,Attached single-family,2,1,3
344000,1909,Attached single-family,2,1,3
323000,1636,Attached single-family,2,1,3
320000,1636,Attached single-family,2,1,3
316000,1636,Attached single-family,2,1,3
361500,1909,Attached single-family,2,1,3
377500,2095,Attached single-family,3,1,3
347500,2103,Attached single-family,3,1,3
342500,2095,Attached single-family,3,1,3
356500,2095,Attached single-family,3,1,3
354500,2079,Attached single-family,3,1,3
384500,2087,Attached single-family,3,1,3
371500,2098,Attached single-family,3,1,3
371500,2087,Attached single-family,3,1,3
359000,2088,Attached single-family,3,1,3
378000,2087,Attached single-family,3,1,3
372500,2098,Attached single-family,3,1,3
379000,2091,Attached single-family,3,1,3
378500,2089,Attached single-family,2,1,3
375500,2103,Attached single-family,2,1,3
376000,2089,Attached single-family,2,1,3
380000,2089,Attached single-family,2,1,3
375500,2103,Attached single-family,2,1,3
382500,2089,Attached single-family,2,1,3
383500,2091,Attached single-family,3,1,3
376500,2098,Attached single-family,3,1,3
373500,2087,Attached single-family,3,1,3
379000,2087,Attached single-family,3,1,3
372500,2098,Attached single-family,3,1,3
389000,2091,Attached single-family,3,1,3
369000,2084,Attached single-family,3,1,3
372000,2114,Attached single-family,3,1,3
361000,2139,Attached single-family,3,1,3
349500,2142,Attached single-family,3,1,3
353000,2148,Attached single-family,3,1,3
379500,2139,Attached single-family,3,1,3
361500,1904,Attached single-family,2,1,3
435000,1636,Attached single-family,2,1,3
362000,1636,Attached single-family,2,1,3
449500,1904,Attached single-family,2,1,3
364500,1873,Attached single-family,2,1,3
366000,1909,Attached single-family,2,1,3
367500,1873,Attached single-family,2,1,3
361500,1885,Attached single-family,2,1,3
368500,1885,Attached single-family,2,1,3
379500,1825,Attached single-family,2,1,3
363000,1631,Attached single-family,2,1,3
370500,1595,Attached single-family,2,1,3
379000,1861,Attached single-family,2,1,3
379000,1773,Attached single-family,2,1,3
365500,1567,Attached single-family,2,1,3
368000,1555,Attached single-family,2,1,3
367500,1567,Attached single-family,2,1,3
385500,1873,Attached single-family,2,1,3
371000,1555,Attached single-family,2,1,3
382000,1567,Attached single-family,2,1,3
369500,1555,Attached single-family,2,1,3
364000,1567,Attached single-family,2,1,3
319000,1704,Detached single-family,2,0,3
365000,1572,Detached single-family,2,1,3
427000,1996,Detached single-family,2,1,3
300000,1425,Detached single-family,2,0,3
275000,1533,Detached single-family,2,0,3
330000,940,Detached single-family,2,0,3
120000,1377,Detached single-family,2,1,3
425500,1890,Detached single-family,2,1,3
445000,2220,Detached single-family,2,1,3
462000,2584,Detached single-family,3,0,3
444000,2171,Detached single-family,2,1,3
443500,2171,Detached single-family,2,1,3
430500,1890,Detached single-family,2,1,3
464500,2201,Detached single-family,2,1,3
483500,2500,Detached single-family,3,0,3
446500,2086,Detached single-family,2,1,3
465500,2247,Detached single-family,2,1,3
417500,1890,Detached single-family,2,1,3
440000,2563,Detached single-family,3,0,3
431500,2293,Detached single-family,2,1,3
387500,1999,Attached single-family,3,1,3
385000,2131,Attached single-family,3,1,3
359500,2098,Attached single-family,3,1,3
368500,2098,Attached single-family,3,1,3
380500,2091,Attached single-family,3,1,3
404000,2070,Attached single-family,3,1,3
380000,2088,Attached single-family,3,1,3
392000,2085,Attached single-family,3,1,3
445500,2098,Attached single-family,3,1,3
388000,2129,Attached single-family,3,1,3
382000,2088,Attached single-family,3,1,3
428500,1999,Attached single-family,3,1,3
390500,2091,Attached single-family,3,1,3
404500,2070,Attached single-family,3,1,3
394000,2098,Attached single-family,3,1,3
392000,2088,Attached single-family,3,1,3
401500,2087,Attached single-family,3,1,3
397500,2098,Attached single-family,3,1,3
361000,2070,Attached single-family,3,1,3
366000,2098,Attached single-family,3,1,3
347000,2088,Attached single-family,3,1,3
403500,2093,Attached single-family,3,1,3
430500,2091,Attached single-family,3,1,3
425000,2087,Attached single-family,3,1,3
424500,2098,Attached single-family,3,1,3
454500,2091,Attached single-family,3,1,3
410000,2098,Attached single-family,3,1,3
430000,2079,Attached single-family,3,1,3
425000,2079,Attached single-family,3,1,3
433000,2098,Attached single-family,3,1,3
440500,2091,Attached single-family,3,1,3
420000,2169,Attached single-family,3,1,3
