year,age,sex,college,trantime,incwage_cpiu_2022
2019,41,Male,FALSE,15,460137.80094144685
2009,54,Female,TRUE,20,43538.26725897708
2022,37,Male,FALSE,30,25000
2009,54,Female,FALSE,15,84556.21382209557
2019,35,Female,TRUE,25,37408.51644
2000,27,Female,FALSE,15,30589.50298
2000,21,Female,FALSE,15,21242.710400232292
1990,77,Male,TRUE,30,0
2000,26,Male,FALSE,15,40786.00397
2014,18,Male,FALSE,133,3897.7164047483257
2009,25,Female,TRUE,60,89899.62101169187
2019,28,Male,FALSE,15,41952.66338334804
2014,58,Female,FALSE,50,30170.525396221896
2014,27,Female,FALSE,20,17348.732008955918
2014,78,Male,FALSE,12,16201.544941526025
2014,21,Male,FALSE,30,7143.959119264375
2019,58,Male,FALSE,40,37054.828432530994
2000,59,Male,FALSE,30,135953.34656148666
1990,31,Male,FALSE,35,0
2000,41,Male,TRUE,20,147849.26438561676
2019,35,Male,TRUE,25,43231.205481983845
1990,38,Male,FALSE,20,44792.46125
2000,35,Female,FALSE,10,16994.168320185832
2000,37,Male,FALSE,40,135953.34656148666
1990,55,Female,FALSE,25,44198.96114229224
2022,73,Female,FALSE,15,60000
2009,57,Female,TRUE,35,52441.218288503536
2019,39,Male,FALSE,10,85950.7652
2022,28,Male,FALSE,22,26600
2009,57,Male,FALSE,15,36277.343349479714
2014,36,Female,TRUE,30,57408.801089918255
1990,49,Female,FALSE,25,0
2022,28,Female,FALSE,15,110000
2022,34,Male,TRUE,15,50000
1990,19,Female,FALSE,2,44792.46125
2019,22,Female,FALSE,35,27470.913489041603
2014,36,Male,FALSE,15,159468.89191643958
2000,45,Male,FALSE,15,81572.00794
2019,53,Female,FALSE,20,29134.048376523995
2014,57,Female,FALSE,25,62856.703467249645
2009,33,Male,FALSE,60,0
2022,52,Male,FALSE,21,80000
2014,28,Female,FALSE,10,13227.264678340338
1990,30,Female,FALSE,10,0
2000,34,Female,FALSE,10,40786.00397
2019,24,Female,FALSE,20,16218.140551092936
2019,24,Male,FALSE,10,5729.974705255928
2022,23,Female,FALSE,15,5000
1990,38,Male,FALSE,20,94064.16863320365
2009,59,Female,TRUE,35,97236.91828
2014,49,Female,FALSE,35,74171.57764
1990,37,Male,FALSE,15,85105.67638242235
2014,27,Female,FALSE,10,26055.23903040928
2022,33,Female,TRUE,15,130000
2000,38,Female,TRUE,30,100265.59308909642
1990,40,Female,FALSE,30,85105.67638242235
2022,23,Male,FALSE,8,15000
2019,43,Male,FALSE,70,103652.33507973548
2019,44,Female,FALSE,8,21747.806512157935
2022,35,Female,TRUE,45,108000
1990,47,Female,FALSE,10,0
2009,28,Male,FALSE,15,54713.325582497266
2022,22,Female,FALSE,10,20400
2022,33,Female,FALSE,45,100000
2009,36,Male,TRUE,5,67953.1921
2019,54,Male,FALSE,40,80123.49767637135
2009,65,Male,TRUE,75,5436.146262820532
